animal;id;experience;test;path
fish;2;12;2;ПОФХША-ДССДА-ШХЦЩЗЗЩЦХША+ШХХША-ДСЕЛИФХХЦЩКЛЖЖЛКГ+КЛЛКГ-ЗССЗЩЦХША-ШХХХФМКККЗССССЗКЛЖССССССССЖВЛКЗССЗГ-ЩЦХХЦЩГ-ЗСЖВЛКЩЦЦЩГ-ЗСССЖЛМООООМЛЛКЗСТ
fish;2;12;3;НОИКА+А-А-ДССДА-ШХФФХША-ДССДА-А-ДДА-ШХЦЩЗССС…Т
fish;2;13;1;НОИКА+ДССДА-ШХФФФХША-ДДШХХХХША-ДДКЛЕССССЕЛИООФФФХХЦЩЗЗГ+ККГ-ЩЦФМЛВОЖТ
fish;2;13;2;НОФХША+ШХХША-А-А-ККДДА-ДС…ЕЛКА-ШХЦЦФФЦЩГ+ШГ-Г-КЛЛКЗСЖЛЛЛЛЛКЩЦХША-А-ШХХША-А-ДССДА-ШХФФЦЩККЩЦХХЦЩККЩЦХША-А-А-ДСЕБЛЛЛИООИКА-ДСЕЛКА-А-ШХЦЦХХЦЩЗЗЩЩГ-ЦХША-ДСССССССР
fish;2;13;3;НОИЛЕСДА+КЛЛККЛЕССР
fish;2;14;1;НОИКДДА+А-А-ДССДА-ДССДА-А-А-ДДА-ДССДА-А-ШХЦЦФФФФХХХША-ШХХША-ДССДА-ДДА-ДДА-ДССДА-ДДА-ШХФФХША-А-ДССДККШША-ДДДССДДСР
fish;2;14;2;НОФФООИКДССДА+ККДССДКА-ШККИИКА-ДСЕЛКА-А-ДСЕЛКШХЦЩЗССЗГ+ККГ-Г-Г-ЗССЗЩЦХША-ДДШХЦЩЗССЗЩЦЦЩКЛЛКГ-ЗССЗКЛЛМИИКА-А-ДСР
fish;2;15;1;ПОФФООФХША+ККА-ШХФФХШДССДА-ШХЦЩГ-КЛЖСЗЗСТ
fish;2;15;2;ПОФХШДССЕЛКДСЕЛКА+ШХХШДССДШХХШККДСЕЛКШХЦЦХХЦЩГ+ККЗСЖВЛЛВЛКГ-ЗССЗКМИКА-ДСЕЛКШХХША-ДСССЕР
fish;2;15;3;НОИЛЕССЕЛКШХЦЩГ+ККГ-ЗССЗГ-ЗССЗГ-Г-ЗССЗГ-ЩЦЦЩКЛВЖСЗГ-ЗСТ
fish;2;16;1;ПОФФООММИКА+ДССДА-ККДССДА-ШХХША-ДССДШХФООИКА-ШШДССДШХЦЩЗССЗГ+КККГ-ЗСЖВЛМИЛЛИММЛВВЖТТСЗГ-ШЦХХЦШЗССЗГ-КЛЖЖЛЛЖТ
fish;2;16;2;НОМКГ+КЛЛКГ-ЩЦХШККДССДШХЦЩГ-ККЗСССССССССЖЛМООИИИИИКА+ШХФИЛЛКДСЕЛККККЛЛИООФХША-ДДА-ШХЦЩЗСТ
fish;2;17;1;НОФФИКА+ДДДДДССДА-ШХФФХШДССССДШХФООМЖТ
fish;2;17;2;НОФХША+ККА-КЛБЛКА-ДССДА-ДДШХЦЩЗСТ
fish;2;17;3;НОФФИКА+ДССДА-КЛЕРРСДА-ККШХЦЩГ+Г-Г-ЩЦХШДССДШХФООФФФЦЩЗСЖВЛККЛЖТТТ
fish;2;17;4;НОФФИКШХФФХША+ККДССДА-ШХХША-ДССДКЛЕССЕЛЛЕР
fish;2;17;5;ПОИМЛЖСЗКЛЖССТ
fish;2;17;6;НОИЛЕСДА+А-ШХФФХШШХЦЩГ+ЩГ-ЗССЗШЦХЦША-ККШХФООМКЩЦЦЩГ-ЗСТ
fish;2;18;1;УОМККЛЖСЗГ+ЗССЗГ-КЛЛКГ-ЗССЗГ-ККГ-ЗССССЗЩЦХША+КЛБЛКА-ДДА-ШХЦЩГ-ЗСЖЛМИИИКА-А-А-ШХХШДССДА-ШХФФЦЦФООМККЛЛКГ-Г-ЗСТ
fish;2;18;2;НОФФФХХЦЦХША+ДДДССДА-КЛЛИИКДСЕЛЛЕССЕЛИИКДССДА-ШХФФФФХША-ШХХША-А-ДССДШХФФФФФИКДДА-ДСССССССР
fish;2;19;1;НОФФИКДССДА+ШХФООИИКА-ДССДДССДХФООФХША-А-ДССДШХХШКДДА-ШХЦЩГ+Г-Г-ЩЦЦЩГ-КЛЖТ
fish;2;19;2;НОФХША+А-ШХХША-ККА-ДССДШХЦЩГ+ЩЦХХЦГ-КЛЖТ
fish;2;19;3;НОФФИЛБЛИМКГ+Г-КЛЛКЗСЖЛЛЖССТ
fish;2;19;4;НОООФЦЩЗСГ+ЩЦХЩА+ККШХЦЩГ-ЩЦХШКЛЕР
fish;2;20;1;НОИИФФООИКА+ДДШХФФМЛЛКГ+ШЦЦШГ-ЗСТ
fish;2;20;2;УОФФИИКА+ДДШХЦЦХША-ШХЦЩГ+ККГ-ЗСТ
fish;2;20;3;НОФХША+ДДА-ККШХЦЩГ+КМИКШХЦЩЗССЗЩЦХША-КЛЕР
fish;2;20;4;ПОФХШККШХЦЦГ+ККГ-ЗССЗЩЦЦЗССССЗЗССЗЩЦЦЗССЗЗСТ
fish;2;22;1;НОИККДДА+А-ДДА-ККА-ШХХШДССДА-А-А-А-А-А-А-ДДССДШХЦЩГ+ЩЦФООИККЛЕР
fish;2;22;2;ПОФФХША+А-ШАФФХША-А-ДССДА-А-А-ШХХШДССДШХХХЦЩЗССЗККГ+ЗССЗЩЦЦЩКЛЖТ
fish;2;22;3;ПУОИКШХЦЩКЛЖЖВЖССССЖЛКЩЦХФФХХХША+ШХЦЦХША-А-А-А-ШХЦЩЗССЗГ+ЗССЗГ-КЛЖЖЛЛЖТ
fish;2;22;4;НОИКА+ДССДШХЦЦХША-ДССДКЛЕСДШХЦГ+ЗЗГ-ЩЦХШККДСР
fish;2;23;1;НОИИИКА+А-ККА-ШХЦЩГ+КЛЖТ
fish;2;23;2;ПОФХХЦЩЗССЗЩЦХША+ШХАЦЦХША-ДССДА-ККДДШХЦЩЗСТ
